job_title,job_type,salary,job_skill,gaji_perbulan,clean_text,label
admin. accounts clerk,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",admin. accounts clerk excel,finance_accounting
engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",engineer excel,technical_support
hr admin manager,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",hr admin manager excel,hr_recruitment
it qa analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",sql,"5,000 - 7,500",it qa analyst sql,software_dev
personal assistant for project manager,Contract,"USD 75,000 - 110,000 / YEARLY",excel,"6,250 - 9,167",personal assistant for project manager excel,management
internal audit executive / senior executive,Internship,"USD 18,000 - 24,000 / YEARLY",excel,"1,500 - 2,000",internal audit executive / senior executive excel,internship
associate data engineer hybrid working,Full-time,"USD 60,000 - 90,000 / YEARLY",sql,"5,000 - 7,500",associate data engineer hybrid working sql,cloud_devops
executive of international student office,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",executive of international student office communication,internship
customer service representative,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",customer service representative excel,customer_service
audit and tax assistant fresh graduates,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",audit and tax assistant fresh graduates communication,finance_accounting
planner controller,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",planner controller communication,finance_accounting
office services assistant months contract,Contract,"USD 30,000 - 55,000 / YEARLY",excel,"2,500 - 4,583",office services assistant months contract excel,customer_service
it business analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",sql excel,"5,000 - 7,500",it business analyst sql excel,data_analyst_bi
hr manager,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",hr manager excel,hr_recruitment
executive/ sr. executive accounts,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",executive/ sr. executive accounts communication,administration
operation clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",operation clerk communication,administration
sr. engineer/assistant manager -r d project management,Contract,"USD 70,000 - 115,500 / YEARLY",communication,"5,833 - 9,625",sr. engineer/assistant manager -r d project management communication,management
e-commerce / sales admin / secretary,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",e-commerce / sales admin / secretary excel,sales
data analyst e-commerce,Full-time,"USD 60,000 - 90,000 / YEARLY",sql excel,"5,000 - 7,500",data analyst e-commerce sql excel,data_analyst_bi
sales executive management trainee kepong,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",sales executive management trainee kepong communication,sales
injection process engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",injection process engineer communication,technical_support
finance office executive,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",finance office executive communication,finance_accounting
account executive,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",account executive communication,sales
sales executive microbiology,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",sales executive microbiology communication,sales
admin executive cum pa to managing director,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",admin executive cum pa to managing director excel,administration
corporate sales executive,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",corporate sales executive communication,sales
procurement executive,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",procurement executive communication,procurement
sales admin clerk rm2000-rm3000,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",sales admin clerk rm2000-rm3000 excel,sales
account executive,Full-time,"USD 50,000 - 75,000 / YEARLY",sql excel,"4,167 - 6,250",account executive sql excel,sales
sr. engineer/ engineer- dfx dtx packaging sterilization,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",sr. engineer/ engineer- dfx dtx packaging sterilization excel,technical_support
backend developer,Full-time,"USD 70,000 - 105,000 / YEARLY",sql java react,"5,833 - 8,750",backend developer sql java react,backend_dev
admin cum logistic coordinator,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",admin cum logistic coordinator excel,administration
hr assistant manager client facing advisory work from home,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",hr assistant manager client facing advisory work from home excel,hr_recruitment
accounts cum tax executive,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",accounts cum tax executive communication,finance_accounting
finance executive,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",finance executive communication,finance_accounting
accounts executive,Full-time,"USD 50,000 - 75,000 / YEARLY",sql excel,"4,167 - 6,250",accounts executive sql excel,finance_accounting
senior analyst loan operation services,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",senior analyst loan operation services communication,data_analyst_bi
front end engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",java react,"5,833 - 8,750",front end engineer java react,frontend_dev
manager finance,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",manager finance communication,finance_accounting
assistant human resource manager,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",assistant human resource manager excel,hr_recruitment
service desk analyst indonesian speaker,Full-time,"USD 60,000 - 90,000 / YEARLY",sql excel,"5,000 - 7,500",service desk analyst indonesian speaker sql excel,customer_service
senior executive credit control,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",senior executive credit control communication,administration
hr/ admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",hr/ admin executive communication,hr_recruitment
audit cum tax assistant,Full-time,"USD 70,000 - 105,000 / YEARLY",sql,"5,833 - 8,750",audit cum tax assistant sql,finance_accounting
machine learning engineer,Full-time,"USD 60,000 - 90,000 / YEARLY",python java machine learning data analysis,"5,000 - 7,500",machine learning engineer python java machine learning data analysis,data_science_ai
software support engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",software support engineer excel,customer_service
sales admin executive,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",sales admin executive excel,sales
sales executive,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",sales executive communication,sales
php software engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",sql excel java,"5,833 - 8,750",php software engineer sql excel java,software_dev
supply chain logistic and fulfillment specialist,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",supply chain logistic and fulfillment specialist excel,procurement
senior contract executive/ asst. contract manager/ contract manager,Contract,"USD 75,000 - 110,000 / YEARLY",communication,"6,250 - 9,167",senior contract executive/ asst. contract manager/ contract manager communication,management
electrical engineer/technician fresh graduates are welcome to apply,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",electrical engineer/technician fresh graduates are welcome to apply excel,technical_support
human resources administration manager,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",human resources administration manager excel,hr_recruitment
angular developer,Full-time,"USD 70,000 - 105,000 / YEARLY",sql excel,"5,833 - 8,750",angular developer sql excel,frontend_dev
senior accounting executive,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",senior accounting executive excel,finance_accounting
assistant market manager,Full-time,"USD 75,000 - 100,000 / YEARLY",communication,"6,250 - 8,333",assistant market manager communication,management
supply chain planning,Full-time,"USD 60,000 - 90,000 / YEARLY",excel data analysis,"5,000 - 7,500",supply chain planning excel data analysis,procurement
accountant,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",accountant excel,finance_accounting
admin and procurement executive,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",admin and procurement executive communication,procurement
analyst anti money laundering aml,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",analyst anti money laundering aml communication,data_analyst_bi
senior finance executive,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",senior finance executive excel,finance_accounting
hr admin assistant manager/manager,Full-time,"USD 75,000 - 100,000 / YEARLY",communication,"6,250 - 8,333",hr admin assistant manager/manager communication,hr_recruitment
operations executive,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",operations executive excel,administration
admin manager,Full-time,"USD 75,000 - 100,000 / YEARLY",excel,"6,250 - 8,333",admin manager excel,management
application support engineer - credit processing apps,Full-time,"USD 70,000 - 105,000 / YEARLY",java,"5,833 - 8,750",application support engineer - credit processing apps java,backend_dev
pa to chairman,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",pa to chairman excel,administration
executive - parts planning ordering spare parts division,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",executive - parts planning ordering spare parts division excel,administration
intern - finance,Internship,"USD 18,000 - 24,000 / YEARLY",excel,"1,500 - 2,000",intern - finance excel,finance_accounting
admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",admin assistant communication,administration
executive secretary,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",executive secretary communication,administration
admin assistant/ admin clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",admin assistant/ admin clerk communication,administration
hr manager,Full-time,"USD 75,000 - 100,000 / YEARLY",sql excel,"6,250 - 8,333",hr manager sql excel,hr_recruitment
human resource executive/ officer vacancies,Full-time,"USD 30,000 - 50,000 / YEARLY",excel data analysis,"2,500 - 4,167",human resource executive/ officer vacancies excel data analysis,hr_recruitment
customer service executive,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",customer service executive excel,customer_service
plant manager factory in oversea,Full-time,"USD 75,000 - 100,000 / YEARLY",communication,"6,250 - 8,333",plant manager factory in oversea communication,management
office admin,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",office admin excel,administration
administrative assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",administrative assistant excel,administration
business admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",business admin executive excel,administration
administration officer,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",administration officer communication,administration
assistant admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",assistant admin executive excel,administration
office admin cum account assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",office admin cum account assistant communication,finance_accounting
office admin,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",office admin communication,administration
admin operation assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",sql,"2,500 - 4,167",admin operation assistant sql,administration
management trainee/internship,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",management trainee/internship communication,internship
processing officer,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",processing officer communication,administration
internship trainee - project engineer mechanical,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",internship trainee - project engineer mechanical communication,internship
it executive,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",it executive communication,administration
customer support officer,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",customer support officer excel,customer_service
human resources officer,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",human resources officer excel,hr_recruitment
finance assistant months contract,Contract,"USD 50,000 - 82,500 / YEARLY",excel,"4,167 - 6,875",finance assistant months contract excel,finance_accounting
general admin,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",general admin communication,administration
associate - agency support ipoh branch,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",associate - agency support ipoh branch communication,customer_service
account executive immediate hiring,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",account executive immediate hiring communication,sales
exam invigilators external contractor/part-time,Part-time,"USD 22,500 - 49,500 / YEARLY",excel,"1,875 - 4,125",exam invigilators external contractor/part-time excel,administration
admin executives - 2 positions,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",admin executives - 2 positions communication,administration
admin executive open to fresh graduate,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",admin executive open to fresh graduate excel,administration
vendor management executive,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",vendor management executive excel,procurement
hr executive,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",hr executive excel,hr_recruitment
admin,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",admin excel,administration
executive production,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",executive production excel,administration
office administrator,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",office administrator excel,administration
technical assistant,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",technical assistant excel,administration
admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",admin executive communication,administration
junior programmer penang,Full-time,"USD 70,000 - 105,000 / YEARLY",python sql java,"5,833 - 8,750",junior programmer penang python sql java,software_dev
executive internal audit,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",executive internal audit communication,internship
warehouse admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",warehouse admin assistant excel,procurement
admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",admin executive excel,administration
admin assistant / general clerk /,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",admin assistant / general clerk / communication,administration
dba mssql,Full-time,"USD 45,000 - 82,500 / YEARLY",sql,"3,750 - 6,875",dba mssql sql,administration
operations and administrative senior executive,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",operations and administrative senior executive excel,administration
operations executive / compliance officer,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",operations executive / compliance officer communication,administration
accounts assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",accounts assistant communication,finance_accounting
account executive,Full-time,"USD 50,000 - 75,000 / YEARLY",sql,"4,167 - 6,250",account executive sql,sales
finance assistant manager,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",finance assistant manager excel,finance_accounting
admin hr assistant / officer taman perindustrian puchong,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",admin hr assistant / officer taman perindustrian puchong communication,hr_recruitment
account payable executive,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",account payable executive communication,administration
accounts payable officer,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",accounts payable officer excel,finance_accounting
personal assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",personal assistant communication,administration
project manager main contractor,Contract,"USD 60,000 - 99,000 / YEARLY",communication,"5,000 - 8,250",project manager main contractor communication,management
purchasing executive,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",purchasing executive excel,procurement
vocational training officer,Full-time,"USD 60,000 - 90,000 / YEARLY",communication,"5,000 - 7,500",vocational training officer communication,hr_recruitment
admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",sql excel,"2,500 - 4,167",admin assistant sql excel,administration
personal assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",personal assistant excel,administration
senior executive - hr admin based in papua new guinea,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",senior executive - hr admin based in papua new guinea communication,hr_recruitment
executive - campus central,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",executive - campus central excel,administration
credit administration supervisor/ executive - hire purchase facility,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",credit administration supervisor/ executive - hire purchase facility excel,administration
procurement executive,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",procurement executive excel,procurement
hr cum admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",hr cum admin executive communication,hr_recruitment
executive value management,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",executive value management excel,administration
executive technical support analyst service,Full-time,"USD 60,000 - 90,000 / YEARLY",excel,"5,000 - 7,500",executive technical support analyst service excel,technical_support
human resource executive,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",human resource executive excel,hr_recruitment
international customer success manager,Internship,"USD 18,000 - 24,000 / YEARLY",excel,"1,500 - 2,000",international customer success manager excel,internship
account executive - global business services,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",account executive - global business services excel,sales
personal assistant to gmd s office,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",personal assistant to gmd s office excel,administration
executive marketing support,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",executive marketing support excel,customer_service
purchasing executive working days,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",purchasing executive working days communication,procurement
internship,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",internship communication,internship
wfh admin assistant jas/consadmin,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",wfh admin assistant jas/consadmin excel,administration
hr executive,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",hr executive communication,hr_recruitment
accounts assistant manager,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",accounts assistant manager excel,finance_accounting
admin manager,Full-time,"USD 75,000 - 100,000 / YEARLY",communication,"6,250 - 8,333",admin manager communication,management
juruteknik tcst,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",juruteknik tcst communication,administration
hybrid intern internal finance,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",hybrid intern internal finance communication,finance_accounting
technician - gps installer vacancy in kl penang terengganu,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",technician - gps installer vacancy in kl penang terengganu communication,administration
senior executive - it infrastructure,Full-time,"USD 70,000 - 105,000 / YEARLY",sql excel,"5,833 - 8,750",senior executive - it infrastructure sql excel,administration
admin and accounts assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",admin and accounts assistant excel,finance_accounting
project executive day work week in beranang,Contract,"USD 45,000 - 90,750 / YEARLY",communication,"3,750 - 7,562",project executive day work week in beranang communication,administration
key account manager,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",key account manager excel,sales
hr admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",hr admin assistant excel,hr_recruitment
account executive,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",account executive excel,sales
senior talent acquisition executive,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",senior talent acquisition executive excel,hr_recruitment
analyst- it i accounts payable / accounts receivable,Full-time,"USD 60,000 - 90,000 / YEARLY",sql excel,"5,000 - 7,500",analyst- it i accounts payable / accounts receivable sql excel,finance_accounting
junior chemical process beneficiationdirection,Full-time,"USD 45,000 - 82,500 / YEARLY",data analysis,"3,750 - 6,875",junior chemical process beneficiationdirection data analysis,administration
office admin / customer service location platinum walk setapak,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",office admin / customer service location platinum walk setapak communication,customer_service
civil structural engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",civil structural engineer communication,technical_support
administration manager,Full-time,"USD 75,000 - 100,000 / YEARLY",communication,"6,250 - 8,333",administration manager communication,administration
accounts executive/ assistant finance manager,Full-time,"USD 50,000 - 75,000 / YEARLY",sql,"4,167 - 6,250",accounts executive/ assistant finance manager sql,finance_accounting
internship engineering electronic electrical,Internship,"USD 18,000 - 24,000 / YEARLY",communication,"1,500 - 2,000",internship engineering electronic electrical communication,internship
human resources officer,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",human resources officer communication,hr_recruitment
it executive - cyber security,Full-time,"USD 70,000 - 105,000 / YEARLY",python java,"5,833 - 8,750",it executive - cyber security python java,backend_dev
assistant manager digital information technology department ditd,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",assistant manager digital information technology department ditd excel,management
invoicing cum admin clerk,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",invoicing cum admin clerk communication,administration
it support,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",it support communication,customer_service
account assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",account assistant communication,finance_accounting
assistant project engineer,Contract,"USD 70,000 - 115,500 / YEARLY",communication,"5,833 - 9,625",assistant project engineer communication,technical_support
senior executive finance operation - powertrain tanjung malim,Full-time,"USD 60,000 - 90,000 / YEARLY",excel data analysis,"5,000 - 7,500",senior executive finance operation - powertrain tanjung malim excel data analysis,finance_accounting
finance assistant - 6 months contract multiple contract positions,Contract,"USD 70,000 - 115,500 / YEARLY",excel,"5,833 - 9,625",finance assistant - 6 months contract multiple contract positions excel,finance_accounting
administration assistant / executive johor bahru,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",administration assistant / executive johor bahru communication,hr_recruitment
human resource executive,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",human resource executive communication,hr_recruitment
administrative executive admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",communication,"2,500 - 4,167",administrative executive admin assistant communication,administration
accounts executive working days,Full-time,"USD 50,000 - 75,000 / YEARLY",excel,"4,167 - 6,250",accounts executive working days excel,finance_accounting
hr admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",hr admin assistant excel,hr_recruitment
environmental engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",environmental engineer communication,technical_support
order processing specialist,Full-time,"USD 45,000 - 82,500 / YEARLY",excel,"3,750 - 6,875",order processing specialist excel,administration
assistant hr admin manager,Full-time,"USD 75,000 - 100,000 / YEARLY",communication,"6,250 - 8,333",assistant hr admin manager communication,hr_recruitment
operations safety executive,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",operations safety executive communication,administration
site engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",excel,"5,833 - 8,750",site engineer excel,technical_support
health safety officer / site safety supervisor,Full-time,"USD 70,000 - 105,000 / YEARLY",communication,"5,833 - 8,750",health safety officer / site safety supervisor communication,administration
it business analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",sql java,"5,000 - 7,500",it business analyst sql java,data_analyst_bi
senior procurement executive,Full-time,"USD 45,000 - 82,500 / YEARLY",excel data analysis,"3,750 - 6,875",senior procurement executive excel data analysis,procurement
account s clerk,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",account s clerk communication,administration
accountant / accounts executive,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",accountant / accounts executive communication,finance_accounting
accounts cum admin assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",communication,"4,167 - 6,250",accounts cum admin assistant communication,administration
vp client distribution,Full-time,"USD 45,000 - 82,500 / YEARLY",communication,"3,750 - 6,875",vp client distribution communication,administration
sr. executive - hr admin based in tanjung langsat pasir gudang,Full-time,"USD 30,000 - 50,000 / YEARLY",excel,"2,500 - 4,167",sr. executive - hr admin based in tanjung langsat pasir gudang excel,hr_recruitment
